s.G18	s.G19	s.G20	index	stat	p.value
OTU1252	0	1	0	2	0.601517628408252	0.001
OTU1301	0	1	0	2	0.46932108914225	0.001
OTU2314	0	1	0	2	0.393001357838757	0.001
OTU1268	0	1	0	2	0.421605770090005	0.001
OTU882	1	0	0	1	0.430412575784963	0.002
OTU1442	0	1	0	2	0.692193342406993	0.001
OTU962	1	0	0	1	0.410827193340301	0.001
OTU1604	0	0	1	3	0.229492136707435	0.001
OTU884	1	0	0	1	0.496347525036	0.001
OTU1382	0	1	0	2	0.555693559332588	0.001
OTU1279	0	1	0	2	0.448044566329969	0.001
OTU3177	1	0	0	1	0.434685490379953	0.001
OTU1394	0	1	0	2	0.557483316931088	0.001
OTU1208	0	1	0	2	0.647475421386616	0.001
OTU1230	0	1	0	2	0.748336816074628	0.001
OTU3149	0	0	1	3	0.32622818884153	0.001
OTU1344	0	1	0	2	0.717870545356758	0.001
OTU440	0	1	0	2	0.481393498908894	0.001
OTU1889	0	1	0	2	0.456889014729379	0.001
OTU1585	0	1	0	2	0.282118820787618	0.003
OTU435	0	1	0	2	0.338671810529237	0.001
OTU1165	0	1	0	2	0.339013954020866	0.001
OTU1553	0	1	0	2	0.346338084877992	0.001
OTU1922	0	0	1	3	0.407452885872156	0.002
OTU512	0	1	0	2	0.429715440975842	0.001
OTU1951	0	0	1	3	0.418875383475375	0.001
OTU1040	0	0	1	3	0.337772768210831	0.001
OTU3114	0	0	1	3	0.481323844203943	0.001
OTU2166	1	0	0	1	0.419125683178239	0.001
OTU2123	0	1	0	2	0.576083111268573	0.001
OTU2051	0	1	0	2	0.437405511121204	0.001
OTU1980	0	1	0	2	0.358614187140435	0.001
OTU1216	0	1	0	2	0.594861015896627	0.001
OTU411	0	1	0	2	0.272357910647361	0.003
OTU1458	0	1	0	2	0.250908011694505	0.005
OTU1319	0	1	0	2	0.554485254548099	0.001
OTU3151	1	0	0	1	0.284472943337903	0.001
OTU1724	0	1	0	2	0.442888256586313	0.001
OTU1640	0	0	1	3	0.641619713758586	0.001
OTU2984	1	0	0	1	0.215041332228188	0.007
OTU1328	0	1	0	2	0.422147476217417	0.001
OTU1451	0	1	0	2	0.384539656794426	0.001
OTU309	0	1	0	2	0.309116198586314	0.001
OTU517	0	1	0	2	0.271141308615438	0.005
OTU3292	0	0	1	3	0.307021383100013	0.001
OTU1355	0	1	0	2	0.366746402813454	0.001
OTU829	1	0	0	1	0.25215831342413	0.002
OTU1386	0	1	0	2	0.410450029436783	0.001
OTU1437	0	1	0	2	0.314345770840652	0.001
OTU1552	0	1	0	2	0.343001234138422	0.001
OTU110	0	1	0	2	0.425764904267491	0.001
OTU1609	0	0	1	3	0.335698621831497	0.001
OTU1207	0	1	0	2	0.349595756806014	0.003
OTU3152	0	0	1	3	0.310726602558787	0.004
OTU955	0	0	1	3	0.258721457683271	0.001
OTU2527	0	0	1	3	0.37577673626181	0.001
OTU2496	0	0	1	3	0.253406909416626	0.004
OTU1274	0	1	0	2	0.357354151005761	0.001
OTU1932	0	1	0	2	0.350438322025231	0.001
OTU1827	0	0	1	3	0.375543858309477	0.001
OTU1369	0	1	0	2	0.450829108750178	0.001
OTU243	0	1	0	2	0.295600655724744	0.002
OTU1608	0	0	1	3	0.305651861737529	0.003
OTU1243	0	1	0	2	0.505936218361494	0.001
OTU163	0	1	0	2	0.243858771468522	0.008
OTU2758	0	0	1	3	0.277047145740959	0.004
OTU3357	0	0	1	3	0.295641452885727	0.003
OTU2645	0	1	0	2	0.235153675507485	0.006
OTU2786	0	1	0	2	0.264906471413009	0.002
OTU727	0	0	1	3	0.599498200191933	0.001
OTU1436	0	1	0	2	0.296429651713527	0.002
OTU113	0	1	0	2	0.305887645160749	0.001
OTU1418	0	1	0	2	0.373383691244956	0.001
OTU1439	0	0	1	3	0.419009881784049	0.001
OTU776	0	1	0	2	0.241825416703337	0.001
OTU44	0	0	1	3	0.317989945287241	0.001
OTU1427	0	1	0	2	0.53897411850964	0.001
OTU1314	0	1	0	2	0.253628636750894	0.001
OTU111	0	1	0	2	0.554848135228551	0.001
OTU1689	0	0	1	3	0.78726749664588	0.001
OTU2700	0	0	1	3	0.241323242252597	0.003
OTU1378	0	1	0	2	0.315301767642306	0.001
OTU1457	0	0	1	3	0.215122668847889	0.005
OTU3254	0	1	0	2	0.389931767910401	0.001
OTU477	0	0	1	3	0.716959914097032	0.001
OTU3007	0	1	0	2	0.286131691759651	0.001
OTU1709	0	1	0	2	0.21629522817435	0.005
OTU1341	0	1	0	2	0.366746402813454	0.001
OTU1284	0	1	0	2	0.324442842261525	0.001
OTU1444	0	1	0	2	0.305887645160749	0.001
OTU441	0	1	0	2	0.229415733870562	0.001
OTU218	0	1	0	2	0.229415733870562	0.006
OTU1575	0	0	1	3	0.190117275157343	0.009
OTU3028	0	1	0	2	0.222765712298448	0.005
OTU2701	0	0	1	3	0.189326723708655	0.005
OTU2734	0	0	1	3	0.290408934775758	0.001
