Generation	Sex	Color	Diet	Weight	Spleen	ANA100	Cholesterol	HDL	LDL	wt2Month	wt4month	wt6month	Steatosis	Ballooning	NAFLD	NASH	CRP.Conc	CRP	WBC	NE	LY	MO	EO	BA	NEperc	LYperc	MOperc	EOperc	BAperc	RBC	HB	HCT	MCV	MCH	MCHC	RDW	PLT	MPV	G0	G1	G2	G1S1	G2S1	G2S2	termGal	Gal	Sial	Sialbygal	MonoGal	biGal	IgA	IgG	IgM	AGM	AGbyM	AG	AbyG	AbyM	GbyM
31887	18	0	grey	0	28.1	0.073	0	93.8597335	75.13237567	20.51091671	21.2	24.4	28.1	NA	NA	NA	NA	13.11	6.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.4238800308033	45.7134208328158	5.82803011082125	2.50376933100822	3.23339778958868	0.29750190496154	51.5414509436265	57.5761199691958	6.03466902555711	0.101376496664001	48.2171901639188	9.35892980526678	-5e-04	0.2281	-0.5666	0.3948	2.5981	1.4965	-1.5685	1.0655	2.634
31888	18	0	white	0	23.2	0.043	1	120.7245618	79.36831399	39.57268898	22.2	26.2	23.2	NA	NA	NA	NA	15.07	10.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3513227258033	37.6457492875158	6.28735887892125	5.47310371580823	6.94496348698867	0.29750190496154	43.9331081664265	56.6486772741958	12.7155691077571	0.219976978864001	43.1188530033188	13.5298242708668	0.1356	-0.1633	-0.1144	0.6266	2.2545	1.4406	-1.3019	0.8832	2.1851
31889	18	0	black	0	32.3	0.077	0	157.1989588	109.2058572	33.50895454	25.6	29.9	32.3	NA	NA	NA	NA	13.49	10.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.3865619907033	40.8544335252158	5.30337056222125	3.96502521350822	4.19310680338868	0.29750190496154	46.1578040874265	54.6134380092958	8.45563392185711	0.149662523064001	44.8194587388188	9.79397927046678	0.3553	-0.6858	-0.0111	0.647	2.1435	1.3952	-0.9165	0.9876	1.9042
31894	18	1	white	2	29.2	0.089	1	152.2155133	114.2034264	33.88759376	21.8	26.4	29.2	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.7663542983033	42.5485479744158	8.50716352972125	4.30061267790822	8.57981961468868	0.29750190496154	51.0557115041265	64.2336457016958	13.1779341975571	0.204071217464001	46.8491606523188	17.3844850494668	-5e-04	0.4735	1.1606	1.5945	1.6006	1.5976	-1.6696	-0.0331	1.6365
31895	18	1	beige	2	40.5	0.097	0	155.4482	112.0854489	36.56293415	25.1	29.1	40.5	NA	NA	NA	NA	12.14	12.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.7650369842033	47.4495804598158	5.12614076292125	2.37043336380822	2.99130652428868	0.29750190496154	52.5757212227265	58.2349630157958	5.65924179305711	0.0940873480640011	49.8200138236188	8.41494919216678	-0.7755	-0.1611	-0.362	-0.2354	1.7074	0.736	-2.0082	0.3352	2.3435
31896	18	1	beige	2	24.3	0.07	0	169.9588122	103.1133192	54.71788193	18.1	21.8	24.3	NA	NA	NA	NA	15.38	10.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.3730822512033	41.6979579716158	8.14711938872125	3.62389981650822	5.86043866698868	0.29750190496154	49.8450773603265	59.6269177487958	9.78184038845711	0.161257936464001	45.3218577880188	14.3050599606668	-0.3409	-0.771	0.7278	0.5429	1.0994	0.8211	-1.4204	-0.0214	1.3991
31897	18	1	black	2	36.9	0.095	0	153.6646453	118.3836525	26.58615518	20.7	36	36.9	NA	NA	NA	NA	19.2	21.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.1505680968033	44.8375419519158	6.64544717782125	2.95843467510822	5.11050619338867	0.29750190496154	51.4829891297265	59.8494319031958	8.36644277345711	0.137213668664001	47.7959766270188	12.0534552761668	-0.3409	0.1545	1.0786	1.1474	1.2576	1.2025	-1.8018	-0.2446	1.5573
31901	18	0	agouti	2	49.3	0.145	0	172.0854458	119.5516796	33.33652987	39.4	44.2	49.3	NA	NA	NA	NA	NA	12.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.1437727725033	41.6842135566158	5.64765659972125	6.65359943240822	5.57325573368867	0.29750190496154	47.3318701563265	59.8562272274958	12.5243570710571	0.206331187064001	48.3378129890188	11.5184142383668	-0.3251	-1.5063	1.1606	0.5275	0.5335	0.5305	-1.1052	-0.2844	0.8208
31902	18	0	agouti	2	31.5	0.074	1	204.32992	130.6447041	65.40857081	30.9	31	31.5	NA	NA	NA	NA	NA	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.4110401753033	50.8837951950158	6.44374654862125	3.69939628410822	5.26451989208867	0.29750190496154	57.3275417435265	66.5889598246958	9.26141808115711	0.139157955664001	54.5831914791188	12.0057683455668	NA	NA	NA	NA	NA	NA	NA	NA	NA
31903	18	1	black	0	18.5	0.031	0	128.7479643	96.96331207	16.09349821	16.5	19.3	18.5	NA	NA	NA	NA	14.7	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31904	18	1	black	0	21.1	0.037	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.21	15.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31905	18	1	black	0	24.7	0.075	0	152.7157805	82.24924971	34.14120114	18.8	23.4	24.7	NA	NA	NA	NA	6.17	4.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.4635274491033	40.0227303408158	9.01451109562125	8.74616989670822	11.9613195036887	0.79174171416154	49.0372414364265	70.5364725508959	21.4992311144571	0.305509977064001	48.7689002375188	21.7675723133668	0.9797	-0.1716	-2.5249	-0.2564	4.4378	2.0907	-0.6449	3.07	3.7149
31908	18	0	grey	2	46	0.131	1	160.464458	130.924281	39.29400336	32.8	36.9	46	NA	NA	NA	NA	NA	18.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.4211733802033	45.2432892136158	8.81123280282125	4.26374624370822	6.96305645468868	0.29750190496154	54.0545220163265	65.5788266197958	11.5243046034571	0.175282928264001	49.5070354573188	16.0717911624668	0.1198	-0.9509	0.5179	0.6919	1.5155	1.1037	-0.9896	0.4688	1.4585
31910	18	1	grey	0	23.9	0.079	0	117.6590782	67.05061737	48.43474209	19	23.3	23.9	NA	NA	NA	NA	9.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2143	-0.4874	-1.2041	1.4094	4.4235	2.9165	0.4411	3.1858	2.7447
31911	18	1	grey	0	19.8	0.035	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.73	5.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.3812311431033	41.3374432871158	6.44082883732125	4.24701904540822	5.29597578218868	0.29750190496154	47.7782721244265	57.6187688568958	9.84049673245711	0.167040638764001	45.5844623325188	12.0343065244668	NA	NA	NA	NA	NA	NA	NA	NA	NA
31912	18	1	grey	0	21.4	0.038	0	120.5016133	96.20064285	23.1862488	18.4	20.9	21.4	NA	NA	NA	NA	6.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5811	-0.6036	-0.8142	1.1191	3.6373	2.3782	-0.0013	2.4475	2.4489
31919	18	0	agouti	1	45.4	0.075	1	119.9158923	114.8695371	37.10373493	35.2	41.4	45.4	0	0	0	0	15.04	8.82	0.971	-3.219	0.928	-2.645	-6.908	31.62	1.179	9214.08	1.6	-6.908	-2.797	6.19	2.646	25.7	0.024	3.362	27.2	3.04	6.246	0.196	46.2466899178898	36.8091564337866	5.29930091561391	5.61640139406225	5.72075103659584	0.307700302055868	42.1084573493966	53.7533100821105	11.6448527327287	0.217509868616429	42.4255578278545	11.32775225426	NA	NA	NA	NA	NA	NA	NA	NA	NA
31920	18	0	agouti	1	45.2	0.104	0	120.7029318	94.5439357	33.89121699	33.4	40.8	45.2	0	0	0	0	15.91	9.59	0.815	-1.966	0.698	-2.293	-4.51	31.62	2.484	7922.78	2.081	-0.865	-2.513	5.95	2.72	25.5	0.023	3.521	29	3.161	6.078	0.204	45.0644215979898	38.8845743838866	6.39202360261391	4.28984846376225	5.12409335139584	0.245038600255868	45.2765979864966	54.9355784020105	9.65898041542875	0.174629004316429	43.1744228476545	11.76115555426	2.5191	0.4903	0.4543	3.103	4.0074	3.5552	0.2742	2.3669	2.0927
31923	18	0	black	1	37.8	0.083	0	120.2393731	101.4772526	29.7929656	30.8	34.9	37.8	0	0	0	0	8.08	2.65	1.03	-1.897	0.916	-1.89	-6.908	31.62	2.289	8003.092	2.278	-2.797	-2.797	5.14	2.569	23.2	0.022	3.578	28.4	3.14	6.234	0.185	42.0967451763898	39.9174191851866	6.59235075901391	4.99809786406225	6.10969923939584	0.285687775955868	46.5097699441966	57.9032548236105	11.3934848794287	0.196386649916429	44.9155170493545	12.98773777426	-0.2558	-0.5197	-0.1832	0.1329	1.8483	0.9906	-1.4581	0.6239	2.082
31925	18	1	beige	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	10.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31926	18	1	black	2	34.4	0.201	1	167.1164186	85.87123536	53.19968532	30.2	32.7	34.4	2	2	4	0	NA	17.07	1.491	0.157	0.85	-0.842	-1.019	2.66	5.132	2779.398	3.124	2.082	1.151	3.16	2.025	19.7	0.016	3.606	20.8	3.398	4.533	0.159	32.4323503450033	42.3973174715158	8.09262230302125	6.41527059720822	9.89355067348868	0.76888860976154	50.4899397745265	67.5676496549958	17.0777098804571	0.252679882264001	48.8125880687188	18.7550615862668	1.6059	0.4203	0.7923	2.5821	3.0565	2.8193	-0.4039	1.4449	1.8489
31927	18	1	black	2	42.9	0.22	1	163.18427	152.7756313	40.99845244	30.8	34	42.9	2	2	4	0	NA	23.22	0.875	-1.772	0.732	-1.959	-3.863	31.62	2.64	7499.56	2.387	-0.341	-3.863	4.96	2.51	33.3	0.015	3.564	18.9	3.671	6.875	0.159	30.3887673928898	47.0969730797866	9.88692414551391	3.92712501776225	8.30050836039584	0.399702003755868	56.9838972251966	69.6112326071105	12.6273353818287	0.179841076916429	51.0240980975545	18.58713450956	-1.4912	1.057	1.7655	1.0656	0.3019	0.6838	-3.0642	-1.5721	1.4922
31928	18	1	agouti	2	35.1	0.068	1	226.1565001	129.2405578	97.66769837	27.6	32	35.1	1	2	3	0	19.06	13.67	0.824	-0.693	0.399	-2.112	-1.959	5.68	4.693	4268.009	2.339	1.805	0.096	5.64	2.665	34.4	0.016	3.55	20.6	3.437	6.284	0.175	31.2375516896898	44.7856802547866	8.91015598491391	5.24512170806225	9.42993545649584	0.391554906155868	53.6958362396966	68.7624483103104	15.0666120706287	0.219019017516429	50.0308019628545	18.73164634746	-1.4912	-0.0614	1.9905	0.7479	-0.302	0.223	-2.6034	-1.7152	0.8883
31932	18	1	black	1	42.8	0.081	0	178.6447769	120.5785256	51.53110989	30.9	37.4	42.8	1	0	1	0	13.54	7.61	1.144	-0.994	0.916	-1.709	-2.645	6.9	3.418	6321.84	2.419	0.816	-0.37	4.96	2.569	32.4	0.015	3.647	20.4	3.444	6.802	0.182	55.7378734439898	31.1555537466866	3.90189829761391	4.79259036986225	4.16481179149584	0.247272350355868	35.0574520442966	44.2621265560105	9.20467451172875	0.209373573016429	35.9481441165545	8.31398243935997	-0.9339	-0.6042	-1.4351	-1.2231	2.0848	0.4308	-1.9482	0.8953	2.8435
31933	18	1	agouti	1	36.1	0.164	0	120.04285	75.74324378	58.22694999	29.8	33.3	36.1	0	0	0	0	6.94	4.24	1.754	0.457	1.191	-0.671	-1.269	2.87	5.227	3239.886	2.973	1.594	0.699	4.35	2.408	31.5	0.014	3.647	18.4	3.246	5.832	0.208	37.6693917895898	39.9446958844865	7.66467328581391	6.41308495796225	7.89942692739584	0.408727154755868	47.6093691702966	62.3306082104105	14.7212390401287	0.237207369116429	46.3577808424545	15.97282736796	-0.0212	1.04	-0.0607	1.0351	2.5947	1.8149	-1.9192	0.7276	2.6468
